ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
52,0.250,0.000,0.250,0.000,0.250,0.250,15.30%,1.60%,1.03,10.90%,70.00%,60.00%,0.599,0.603,0.415,0.415,0.640,0.624
53,0.000,0.250,0.250,0.000,0.250,0.250,16.40%,1.90%,0.93,9.20%,70.00%,62.50%,0.649,0.665,0.312,0.258,0.640,0.694
54,0.250,0.000,0.000,0.250,0.250,0.250,12.90%,1.20%,0.89,9.10%,67.50%,52.50%,0.482,0.528,0.275,0.246,0.560,0.412
55,0.000,0.250,0.000,0.250,0.250,0.250,14.00%,1.20%,1.01,9.70%,65.00%,56.30%,0.534,0.530,0.396,0.301,0.480,0.518
56,0.000,0.000,0.250,0.250,0.250,0.250,13.80%,1.30%,0.97,9.90%,67.50%,53.80%,0.525,0.544,0.359,0.321,0.560,0.447
57,0.200,0.200,0.200,0.200,0.200,0.000,17.20%,2.00%,1.01,10.20%,71.30%,60.00%,0.687,0.673,0.402,0.346,0.680,0.624
58,0.200,0.200,0.200,0.200,0.000,0.200,18.10%,2.30%,0.96,10.50%,67.50%,57.50%,0.730,0.744,0.350,0.379,0.560,0.553
59,0.200,0.200,0.200,0.000,0.200,0.200,17.10%,2.20%,0.94,10.00%,70.00%,63.80%,0.685,0.707,0.323,0.329,0.640,0.729
60,0.200,0.200,0.000,0.200,0.200,0.200,15.30%,1.80%,0.88,8.70%,72.50%,63.80%,0.596,0.632,0.260,0.204,0.720,0.729
61,0.200,0.000,0.200,0.200,0.200,0.200,15.60%,1.80%,0.97,10.40%,66.30%,52.50%,0.613,0.631,0.360,0.369,0.520,0.412
62,0.000,0.200,0.200,0.200,0.200,0.200,16.10%,1.80%,0.98,9.40%,68.80%,66.30%,0.636,0.634,0.362,0.277,0.600,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,17.30%,2.20%,0.91,9.50%,71.30%,66.30%,0.693,0.716,0.296,0.285,0.680,0.800
64,1.000,0.000,0.000,0.000,0.000,0.000,25.54%,2.08%,0.975575441443917,8.14%,80.00%,60.00%,0.625,0.714,0.382,0.688,0.560,0.500
65,0.000,1.000,0.000,0.000,0.000,0.000,24.96%,0.40%,1.3508010269013,7.75%,85.00%,75.00%,0.599,0.431,0.737,0.634,0.680,0.725
66,0.000,0.000,1.000,0.000,0.000,0.000,23.12%,1.35%,1.04000630544822,8.78%,80.00%,40.00%,0.518,0.590,0.443,0.777,0.560,0.200
67,0.000,0.000,0.000,1.000,0.000,0.000,20.38%,-0.26%,1.29189867529464,8.86%,70.00%,60.00%,0.396,0.320,0.682,0.788,0.320,0.500
68,0.000,0.000,0.000,0.000,1.000,0.000,16.38%,-0.08%,0.974705620441101,4.61%,80.00%,45.00%,0.219,0.351,0.381,0.200,0.560,0.275
69,0.000,0.000,0.000,0.000,0.000,1.000,17.35%,-0.72%,1.2270745811143,8.07%,75.00%,50.00%,0.262,0.243,0.620,0.679,0.440,0.350
70,0.500,0.500,0.000,0.000,0.000,0.000,29.49%,2.46%,1.06069011326896,6.49%,90.00%,70.00%,0.800,0.778,0.462,0.460,0.800,0.650
71,0.500,0.000,0.500,0.000,0.000,0.000,25.59%,1.96%,1.01039683373859,8.34%,80.00%,50.00%,0.627,0.693,0.415,0.716,0.560,0.350
72,0.000,0.500,0.500,0.000,0.000,0.000,24.82%,1.24%,1.13802797593774,7.72%,75.00%,65.00%,0.593,0.572,0.536,0.630,0.440,0.575
73,0.500,0.000,0.000,0.500,0.000,0.000,22.76%,1.89%,0.850334931122146,5.98%,85.00%,55.00%,0.502,0.682,0.263,0.390,0.680,0.425
74,0.000,0.500,0.000,0.500,0.000,0.000,26.13%,0.70%,1.3518604207393,8.49%,80.00%,70.00%,0.651,0.481,0.738,0.736,0.560,0.650
75,0.000,0.000,0.500,0.500,0.000,0.000,22.83%,1.71%,0.912782533000923,7.18%,80.00%,60.00%,0.505,0.653,0.322,0.555,0.560,0.500
76,0.500,0.000,0.000,0.000,0.500,0.000,24.39%,1.54%,1.01514679558228,5.73%,85.00%,70.00%,0.574,0.624,0.419,0.355,0.680,0.650
77,0.000,0.500,0.000,0.000,0.500,0.000,18.45%,-0.74%,1.26458869819601,6.29%,70.00%,55.00%,0.311,0.239,0.656,0.432,0.320,0.425
78,0.000,0.000,0.500,0.000,0.500,0.000,21.53%,1.26%,0.934076431794566,5.72%,85.00%,55.00%,0.447,0.577,0.342,0.354,0.680,0.425
79,0.000,0.000,0.000,0.500,0.500,0.000,15.96%,-0.97%,1.18650638292965,6.20%,70.00%,45.00%,0.200,0.200,0.582,0.420,0.320,0.275
80,0.500,0.000,0.000,0.000,0.000,0.500,23.85%,2.07%,0.878797972589126,7.27%,90.00%,50.00%,0.550,0.713,0.290,0.568,0.800,0.350
81,0.000,0.500,0.000,0.000,0.000,0.500,27.56%,0.73%,1.41678691342888,8.70%,85.00%,80.00%,0.715,0.487,0.800,0.765,0.680,0.800
82,0.000,0.000,0.500,0.000,0.000,0.500,23.51%,1.47%,1.02005250189985,8.09%,80.00%,60.00%,0.535,0.611,0.424,0.681,0.560,0.500
83,0.000,0.000,0.000,0.500,0.000,0.500,18.67%,-0.61%,1.28893460549828,8.95%,75.00%,55.00%,0.320,0.261,0.679,0.800,0.440,0.425
84,0.000,0.000,0.000,0.000,0.500,0.500,18.25%,-0.15%,1.10008492646388,5.48%,70.00%,60.00%,0.302,0.339,0.500,0.321,0.320,0.500
85,0.333,0.333,0.333,0.000,0.000,0.000,29.01%,2.27%,1.09153976143718,7.13%,80.00%,75.00%,0.779,0.745,0.492,0.549,0.560,0.725
86,0.333,0.333,0.000,0.333,0.000,0.000,24.91%,1.73%,1.00748445566034,6.63%,80.00%,55.00%,0.597,0.656,0.412,0.479,0.560,0.425
87,0.333,0.000,0.333,0.333,0.000,0.000,23.77%,1.71%,0.960763718635896,7.19%,85.00%,60.00%,0.547,0.652,0.367,0.557,0.680,0.500
88,0.000,0.333,0.333,0.333,0.000,0.000,25.81%,1.36%,1.16027555171043,7.77%,80.00%,65.00%,0.637,0.593,0.557,0.636,0.560,0.575
89,0.333,0.333,0.000,0.000,0.333,0.000,22.07%,0.38%,1.1796842420917,5.96%,75.00%,60.00%,0.471,0.427,0.575,0.387,0.440,0.500
90,0.333,0.000,0.333,0.000,0.333,0.000,25.53%,2.18%,0.924903302306591,6.27%,80.00%,60.00%,0.624,0.731,0.333,0.430,0.560,0.500
91,0.000,0.333,0.333,0.000,0.333,0.000,21.13%,0.25%,1.16564735742934,6.28%,70.00%,55.00%,0.430,0.406,0.562,0.431,0.320,0.425
92,0.333,0.000,0.000,0.333,0.333,0.000,18.81%,1.00%,0.84484114462693,4.77%,80.00%,50.00%,0.327,0.533,0.258,0.222,0.560,0.350
93,0.000,0.333,0.000,0.333,0.333,0.000,20.61%,-0.42%,1.31216411337097,7.06%,70.00%,55.00%,0.406,0.293,0.701,0.539,0.320,0.425
94,0.000,0.000,0.333,0.333,0.333,0.000,18.94%,1.09%,0.834788659780413,5.14%,80.00%,55.00%,0.332,0.547,0.248,0.274,0.560,0.425
95,0.333,0.333,0.000,0.000,0.000,0.333,28.35%,2.46%,1.00845689663209,6.88%,80.00%,65.00%,0.750,0.778,0.413,0.514,0.560,0.575
96,0.333,0.000,0.333,0.000,0.000,0.333,24.73%,1.85%,0.984688011707386,7.87%,80.00%,55.00%,0.589,0.676,0.390,0.650,0.560,0.425
97,0.000,0.333,0.333,0.000,0.000,0.333,27.56%,1.62%,1.18977820979162,8.09%,80.00%,60.00%,0.715,0.637,0.585,0.681,0.560,0.500
98,0.333,0.000,0.000,0.333,0.000,0.333,22.04%,1.54%,0.908043902930134,6.89%,80.00%,65.00%,0.470,0.624,0.317,0.515,0.560,0.575
99,0.000,0.333,0.000,0.333,0.000,0.333,25.45%,0.70%,1.31770633107793,8.56%,75.00%,75.00%,0.621,0.481,0.706,0.746,0.440,0.725
100,0.000,0.000,0.333,0.333,0.000,0.333,23.98%,1.50%,1.03542344088605,7.93%,75.00%,60.00%,0.556,0.616,0.438,0.659,0.440,0.500
101,0.333,0.000,0.000,0.000,0.333,0.333,25.08%,2.02%,0.944525367918216,6.48%,85.00%,60.00%,0.605,0.703,0.352,0.459,0.680,0.500
102,0.000,0.333,0.000,0.000,0.333,0.333,22.41%,-0.08%,1.32243611708652,7.03%,70.00%,70.00%,0.486,0.351,0.711,0.534,0.320,0.650
103,0.000,0.000,0.333,0.000,0.333,0.333,22.82%,1.58%,0.94028794365477,6.89%,80.00%,55.00%,0.504,0.629,0.348,0.515,0.560,0.425
104,0.000,0.000,0.000,0.333,0.333,0.333,15.95%,-0.87%,1.1778657534151,7.36%,65.00%,50.00%,0.200,0.218,0.573,0.580,0.200,0.350
105,0.250,0.250,0.250,0.250,0.000,0.000,26.67%,1.89%,1.06778241495105,7.31%,75.00%,65.00%,0.675,0.682,0.469,0.573,0.440,0.575
106,0.250,0.250,0.250,0.000,0.250,0.000,25.00%,1.31%,1.10571205592423,6.13%,85.00%,65.00%,0.601,0.585,0.505,0.411,0.680,0.575
107,0.250,0.250,0.000,0.250,0.250,0.000,20.38%,0.34%,1.09908097595925,5.81%,70.00%,60.00%,0.396,0.421,0.499,0.366,0.320,0.500
108,0.250,0.000,0.250,0.250,0.250,0.000,22.40%,1.87%,0.831234362982992,5.41%,80.00%,60.00%,0.486,0.678,0.245,0.311,0.560,0.500
109,0.000,0.250,0.250,0.250,0.250,0.000,20.79%,0.34%,1.12619405623448,6.31%,80.00%,70.00%,0.414,0.422,0.524,0.435,0.560,0.650
110,0.250,0.250,0.250,0.000,0.000,0.250,28.35%,2.35%,1.04516309197912,7.59%,80.00%,55.00%,0.749,0.759,0.448,0.612,0.560,0.425
111,0.250,0.250,0.000,0.250,0.000,0.250,26.07%,2.17%,0.964960025148597,6.86%,80.00%,65.00%,0.649,0.729,0.371,0.511,0.560,0.575
112,0.250,0.000,0.250,0.250,0.000,0.250,23.69%,1.98%,0.898630751546179,7.56%,80.00%,65.00%,0.543,0.697,0.309,0.607,0.560,0.575
113,0.000,0.250,0.250,0.250,0.000,0.250,27.88%,2.02%,1.10937735969351,7.96%,85.00%,70.00%,0.729,0.704,0.508,0.663,0.680,0.650
114,0.250,0.250,0.000,0.000,0.250,0.250,26.05%,1.76%,1.04847813340484,5.79%,90.00%,75.00%,0.648,0.660,0.451,0.364,0.800,0.725
115,0.250,0.000,0.250,0.000,0.250,0.250,26.10%,2.26%,0.940957638434705,6.74%,85.00%,65.00%,0.650,0.744,0.349,0.495,0.680,0.575
116,0.000,0.250,0.250,0.000,0.250,0.250,24.83%,0.98%,1.19160037069108,7.08%,80.00%,60.00%,0.593,0.528,0.586,0.542,0.560,0.500
117,0.250,0.000,0.000,0.250,0.250,0.250,19.38%,1.39%,0.784163442238522,5.00%,80.00%,55.00%,0.352,0.598,0.200,0.255,0.560,0.425
118,0.000,0.250,0.000,0.250,0.250,0.250,22.37%,0.00%,1.31477580349665,7.73%,75.00%,70.00%,0.484,0.363,0.703,0.631,0.440,0.650
119,0.000,0.000,0.250,0.250,0.250,0.250,20.58%,1.24%,0.899535387228409,6.50%,80.00%,50.00%,0.405,0.573,0.309,0.461,0.560,0.350
120,0.200,0.200,0.200,0.200,0.200,0.000,23.24%,1.40%,0.991586187605167,5.78%,80.00%,65.00%,0.523,0.600,0.397,0.362,0.560,0.575
121,0.200,0.200,0.200,0.200,0.000,0.200,27.36%,2.59%,0.933934700048325,7.34%,80.00%,60.00%,0.705,0.800,0.342,0.577,0.560,0.500
122,0.200,0.200,0.200,0.000,0.200,0.200,27.65%,2.05%,1.06943441910604,6.60%,80.00%,65.00%,0.719,0.708,0.471,0.475,0.560,0.575
123,0.200,0.200,0.000,0.200,0.200,0.200,23.07%,1.16%,1.04368419794708,6.05%,80.00%,70.00%,0.516,0.560,0.446,0.399,0.560,0.650
124,0.200,0.000,0.200,0.200,0.200,0.200,23.47%,2.29%,0.794886765926057,6.29%,80.00%,55.00%,0.533,0.749,0.210,0.432,0.560,0.425
125,0.000,0.200,0.200,0.200,0.200,0.200,24.29%,1.13%,1.12511412177859,6.77%,80.00%,80.00%,0.570,0.553,0.523,0.498,0.560,0.800
126,0.167,0.167,0.167,0.167,0.167,0.167,24.16%,1.82%,0.941707523942642,6.07%,80.00%,70.00%,0.564,0.670,0.349,0.403,0.560,0.650
127,1.000,0.000,0.000,0.000,0.000,0.000,7.70%,-1.59%,0.736939118061755,9.59%,60.00%,30.00%,0.228,0.508,0.244,0.317,0.371,0.400
128,0.000,1.000,0.000,0.000,0.000,0.000,16.75%,-1.74%,1.16984069330904,10.30%,70.00%,40.00%,0.589,0.482,0.587,0.367,0.543,0.600
129,0.000,0.000,1.000,0.000,0.000,0.000,9.76%,-2.60%,1.04922101726706,11.13%,55.00%,30.00%,0.310,0.325,0.492,0.426,0.286,0.400
130,0.000,0.000,0.000,1.000,0.000,0.000,20.34%,-1.68%,1.4389158674478,16.43%,70.00%,40.00%,0.733,0.491,0.800,0.800,0.543,0.600
131,0.000,0.000,0.000,0.000,1.000,0.000,17.85%,-0.89%,1.01698257722442,7.94%,85.00%,25.00%,0.633,0.635,0.466,0.200,0.800,0.300
132,0.000,0.000,0.000,0.000,0.000,1.000,8.36%,-3.28%,1.10807323220207,10.67%,55.00%,40.00%,0.254,0.200,0.538,0.393,0.286,0.600
133,0.500,0.500,0.000,0.000,0.000,0.000,14.39%,-0.18%,0.754226231908235,9.13%,70.00%,35.00%,0.495,0.765,0.258,0.284,0.543,0.500
134,0.500,0.000,0.500,0.000,0.000,0.000,8.65%,-2.45%,0.971649447798019,11.16%,55.00%,30.00%,0.266,0.351,0.430,0.428,0.286,0.400
135,0.000,0.500,0.500,0.000,0.000,0.000,14.22%,-1.54%,1.02158663943514,10.09%,60.00%,40.00%,0.488,0.517,0.470,0.352,0.371,0.600
136,0.500,0.000,0.000,0.500,0.000,0.000,11.22%,-0.53%,0.680928616221562,8.78%,65.00%,40.00%,0.368,0.700,0.200,0.260,0.457,0.600
137,0.000,0.500,0.000,0.500,0.000,0.000,22.03%,-0.99%,1.2948600557805,12.81%,65.00%,40.00%,0.800,0.618,0.686,0.544,0.457,0.600
138,0.000,0.000,0.500,0.500,0.000,0.000,11.82%,-2.19%,1.05491561523588,10.72%,65.00%,25.00%,0.392,0.399,0.496,0.397,0.457,0.300
139,0.500,0.000,0.000,0.000,0.500,0.000,12.10%,-0.71%,0.739862524600847,8.05%,70.00%,25.00%,0.403,0.669,0.247,0.208,0.543,0.300
140,0.000,0.500,0.000,0.000,0.500,0.000,18.26%,-1.17%,1.1024392488103,8.95%,65.00%,45.00%,0.649,0.584,0.534,0.272,0.457,0.700
141,0.000,0.000,0.500,0.000,0.500,0.000,13.72%,-1.44%,0.96412601811546,9.05%,65.00%,30.00%,0.468,0.535,0.424,0.278,0.457,0.400
142,0.000,0.000,0.000,0.500,0.500,0.000,18.55%,-1.47%,1.21266136040627,11.43%,75.00%,25.00%,0.661,0.529,0.621,0.447,0.629,0.300
143,0.500,0.000,0.000,0.000,0.000,0.500,7.01%,-1.83%,0.746329999703915,9.37%,55.00%,30.00%,0.200,0.465,0.252,0.301,0.286,0.400
144,0.000,0.500,0.000,0.000,0.000,0.500,15.30%,-1.47%,1.06262868929149,10.48%,60.00%,40.00%,0.531,0.529,0.502,0.380,0.371,0.600
145,0.000,0.000,0.500,0.000,0.000,0.500,8.86%,-2.63%,1.01274070355523,10.93%,55.00%,30.00%,0.274,0.319,0.463,0.412,0.286,0.400
146,0.000,0.000,0.000,0.500,0.000,0.500,15.47%,-1.62%,1.18198559660819,14.43%,60.00%,40.00%,0.538,0.503,0.597,0.659,0.371,0.600
147,0.000,0.000,0.000,0.000,0.500,0.500,13.27%,-2.04%,1.05664430620391,8.96%,65.00%,30.00%,0.450,0.426,0.497,0.272,0.457,0.400
148,0.333,0.333,0.333,0.000,0.000,0.000,11.77%,-1.33%,0.87802061559013,10.22%,60.00%,35.00%,0.390,0.556,0.356,0.361,0.371,0.500
149,0.333,0.333,0.000,0.333,0.000,0.000,16.66%,-0.32%,0.891597203642692,9.91%,65.00%,35.00%,0.586,0.740,0.367,0.339,0.457,0.500
150,0.333,0.000,0.333,0.333,0.000,0.000,10.90%,-1.32%,0.833827479498978,9.94%,65.00%,25.00%,0.355,0.557,0.321,0.341,0.457,0.300
151,0.000,0.333,0.333,0.333,0.000,0.000,17.45%,-0.91%,1.04933835280926,10.59%,65.00%,35.00%,0.617,0.632,0.492,0.387,0.457,0.500
152,0.333,0.333,0.000,0.000,0.333,0.000,13.65%,-0.79%,0.824096842312878,8.16%,70.00%,35.00%,0.465,0.654,0.313,0.216,0.543,0.500
153,0.333,0.000,0.333,0.000,0.333,0.000,11.75%,-1.67%,0.93617761010595,9.86%,65.00%,25.00%,0.389,0.493,0.402,0.336,0.457,0.300
154,0.000,0.333,0.333,0.000,0.333,0.000,14.12%,-1.72%,1.03799842883997,9.31%,65.00%,30.00%,0.484,0.484,0.483,0.297,0.457,0.400
155,0.333,0.000,0.000,0.333,0.333,0.000,12.30%,-0.70%,0.746758539131361,8.00%,70.00%,30.00%,0.412,0.670,0.252,0.205,0.543,0.400
156,0.000,0.333,0.000,0.333,0.333,0.000,20.28%,-1.30%,1.24483866329054,11.00%,75.00%,40.00%,0.730,0.561,0.646,0.417,0.629,0.600
157,0.000,0.000,0.333,0.333,0.333,0.000,12.18%,-1.84%,0.973875915463223,8.96%,60.00%,30.00%,0.407,0.462,0.432,0.272,0.371,0.400
158,0.333,0.333,0.000,0.000,0.000,0.333,12.16%,-0.80%,0.78439633911899,9.56%,70.00%,35.00%,0.406,0.651,0.282,0.314,0.543,0.500
159,0.333,0.000,0.333,0.000,0.000,0.333,7.10%,-2.55%,0.91337224407955,10.77%,50.00%,35.00%,0.204,0.334,0.384,0.400,0.200,0.500
160,0.000,0.333,0.333,0.000,0.000,0.333,14.94%,-1.42%,1.04190829067855,10.69%,60.00%,40.00%,0.517,0.539,0.486,0.395,0.371,0.600
161,0.333,0.000,0.000,0.333,0.000,0.333,11.51%,-0.96%,0.780742222435431,9.24%,60.00%,35.00%,0.380,0.623,0.279,0.292,0.371,0.500
162,0.000,0.333,0.000,0.333,0.000,0.333,19.47%,-0.81%,1.13342242514908,11.60%,65.00%,40.00%,0.698,0.650,0.558,0.459,0.457,0.600
163,0.000,0.000,0.333,0.333,0.000,0.333,14.04%,-1.57%,1.03865808765484,11.00%,60.00%,35.00%,0.481,0.512,0.483,0.417,0.371,0.500
164,0.333,0.000,0.000,0.000,0.333,0.333,9.95%,-1.08%,0.725620036282203,8.68%,65.00%,30.00%,0.317,0.600,0.235,0.252,0.457,0.400
165,0.000,0.333,0.000,0.000,0.333,0.333,17.67%,-1.54%,1.15966514835343,9.71%,65.00%,50.00%,0.626,0.517,0.579,0.326,0.457,0.800
166,0.000,0.000,0.333,0.000,0.333,0.333,10.75%,-2.32%,1.02353222142843,10.26%,60.00%,30.00%,0.350,0.375,0.471,0.364,0.371,0.400
167,0.000,0.000,0.000,0.333,0.333,0.333,19.03%,-1.78%,1.33260004815273,13.56%,60.00%,35.00%,0.680,0.473,0.716,0.598,0.371,0.500
